primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
CARLOS,NA,FISHER,NA,3452,1958-03-01,1903,1
CARLOS,NA,FRADE,NA,3610,1962-11-25,,
CARLOS,NA,FRICK,DAVIES,2521,1968-05-03,1907,1
CARLOS,NA,FULCO,NA,2694,2015-03-01,1944-08-09,
CARLOS,NA,GAMOU,NA,589,2010-02-15,1959-08-09,
CARLOS,NA,GAROLINI,NA,611,1929-02-15,,
CARLOS,NA,GASPARRI,NA,2563,1995-03-01,1952-03-09,
CARLOS,NA,GASTALDI,NA,1786,NA,1940-03-31,
CARLOS,NA,IAFIGLIOLA,NA,3472,2019-06-30,1963-02-01,
CARLOS,NA,LAZCANO,NA,773,1995-02-15,1935-08-15,
CARLOS,NA,LEONE,NA,786,1947-02-15,1922-11-04,
CARLOS,NA,LEONI,NA,3592,1962-11-25,,
CARLOS,NA,MAIANTI,NA,3334,2015-03-01,1956-05-28,
CARLOS,NA,MASEDA,NA,863,2005-02-15,,
CARLOS,NA,MASSIOTTI,SILVEIRA,865,1943-02-15,,
CARLOS,NA,MAZZULO,GAITAN,4303,2001-02-15,1951-02-18,
CARLOS,NA,MAZZULO,NA,4303,2005-02-15,1951-02-18,
CARLOS,NA,NEY,ROMERO,1952,2015-03-01,1956-09-01,
CARLOS,NA,ONETO,Y VIANA,978,1911-02-18,,
CARLOS,NA,PAOLILLO,NA,2583,2005-02-15,1949-01-04,
CARLOS,NA,PERERA,NA,3615,1958-11-30,,
CARLOS,NA,PIRAN,NA,2543,1985-03-01,1934-11-16,
CARLOS,NA,QUERALTO,ORIBE,4366,1970-10-26,,
CARLOS,NA,QUERALTO,NA,4366,1967-02-15,,
CARLOS,NA,RANGUIS,NA,1140,1957-09-17,1925-04-26,
CARLOS,NA,RESTANO,NA,2062,NA,1943-03-07,
CARLOS,NA,REUTOR,NA,2340,2015-02-15,1974-05-31,
CARLOS,NA,ROXLO,NA,1196,1923-02-15,1861-03-12,
CARLOS,NA,SIGNORELLI,NA,2158,2001-02-15,1952-10-28,
CARLOS,NA,SINEIRO,NA,2166,NA,,
CARLOS,NA,STAJANO,NA,2508,1959-03-01,1891,
CARLOS,NA,SURRACO,NA,3616,1958-11-30,1894-08-10,
CARLOS,NA,TESTA,NA,2298,2020-02-15,1964-01-29,
CARLOS,NA,TESTONI,NA,2202,NA,1948-01-03,
CARLOS,NA,VANNELLI,NA,1368,1926-02-15,1853,1
CARLOS,NA,VEGH,GARZON,2515,1967-03-01,1902,1
CARLOS,NA,VETRALE,NA,2245,NA,,
CARLOS,NA,VILARO,RUBIO,2261,NA,,
CARLOS,NA,WETTSTEIN,NA,1408,1926-09-01,,
CARMELO,JOSE,VIDALIN,NA,4469,2015-02-15,1955-11-17,
