primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
ANTONIO,NA,MAGALLANES,NA,3634,1955-02-15,,
ANTONIO,NA,NION,NA,1038,NA,,
ANTONIO,NA,PINTOS,CURBELO,1101,1932-02-15,,
ANTONIO,NA,RAFFO,NA,519,1920-02-15,,
ANTONIO,NA,RODRIGUEZ,CORREA,4053,NA,,
ANTONIO,NA,ROSSI,NA,2109,NA,,
ANTONIO,NA,RUBIO,NA,1226,1952-03-01,,
ANTONIO,NA,RUSSO,NA,1226,NA,1901-02-04,
ANTONIO,NA,SUAREZ,PONTE,2192,NA,,
ANTONIO,NA,VOLPE,NA,1868,1943-02-15,,
ANTONIO,NA,ZEBALLOS,BASTRERI,2280,NA,,
APARICIO,NA,MENDEZ,NA,2482,1963-03-01,1904-08-24,
APARICIO,NA,SARAVIA,NA,1266,NA,,
AQUILES,R.,LANZA,NA,3948,1985-02-15,1924-05-31,
AQUILES,NA,ESPALTER,NA,1740,1947-03-01,,
AQUILES,NA,LANZA,SERE,3948,1967-02-15,1924-05-31,
AQUILES,NA,LANZA,NA,3948,1966-11-27,1924-05-31,
ARACIEL,NA,FERNANDEZ,NA,3030,2015-03-01,,
ARAZATI,NA,SEGOVIA,NA,2154,NA,,
ARIEL,E.,RIANI,NA,3638,1990-02-15,1926-08-28,
ARIEL,NA,BARRIOS,NA,1524,NA,,
ARIEL,NA,CALLORDA,NA,1605,NA,,
ARIEL,NA,COLLAZO,NA,1668,NA,1929-02-06,
ARIEL,NA,CROSSA,NA,1682,NA,,
ARIEL,NA,DE LA SIERRA,LA SIERRA,1707,1990-03-01,,
ARIEL,NA,DIAZ,PUJADO,461,1972-02-15,1940-08-04,
ARIEL,NA,GUADALUPE,NA,1837,NA,1928-05-16,
ARIEL,NA,PEREIRA,NA,2014,NA,,
ARISTIDES,NA,LEZAMA,NA,3535,1932-02-23,,
ARISTOTELES,NA,MACEDO,NA,3633,1959-02-15,,
ARMANDO,D.,TORTEROLO,NA,3597,1955-02-15,,
ARMANDO,NA,BACIGALUPI,NA,148,1923-02-15,,
ARMANDO,NA,BERRETA,NA,2638,2010-03-01,1955-12-13,
ARMANDO,NA,CABRERA,NA,2734,2010-03-01,,
ARMANDO,NA,DA,SILVA TABAREZ,399,1990-02-15,1945-01-21,
ARMANDO,NA,IBARLUCEA,NA,3380,1962-11-25,,
ARMANDO,NA,PEREZ,LUACES,3601,1955-02-15,,
ARNOLDO,E.,GARCIA,NA,1800,NA,,
ARNOLDO,NA,CAMPS,OLIVERA,3651,1959-02-15,1908,2
ARNOLDO,NA,LOPEZ,NA,825,1971-09-13,,
ARTEMIO,ISMAEL,MONTERO,NA,1951,NA,,
ARTEMIO,NA,MACHADO,NA,843,1959-02-15,,
ARTIGAS,NA,ALVAREZ,NA,3223,2015-03-01,,
ARTIGAS,NA,BARRIOS,NA,176,2000-02-15,1937-07-07,
ARTURO,J.,VARELA,NA,1398,NA,,
ARTURO,L.,FERRIZO,NA,2946,2010-03-01,,
ARTURO,NA,ACOSTA,NA,2807,2010-03-01,,
ARTURO,NA,AGUIRRE,NA,3227,2015-03-01,,
ARTURO,NA,BERRO,NA,212,1905-02-15,,
ARTURO,NA,CARBONELL,DEBALI,302,NA,1893-12-21,
ARTURO,NA,COLLAZO,NA,3695,1963-02-15,1920-12-27,
ARTURO,NA,CUEVAS,CACERES,392,1972-02-15,1929-01-12,
ARTURO,NA,DUBRA,NA,472,2001-07-19,,
ARTURO,NA,GAYE,NA,2448,1917-03-22,,
ARTURO,NA,GONZALEZ,VIDART,680,1943-03-01,1896-11-24,
ARTURO,NA,GUERRERO,NA,700,1995-02-15,,
ARTURO,NA,HEBER,FULLGRAF,1849,NA,1950-06-20,
ARTURO,NA,LEZAMA,NA,815,1958-03-01,1899,2
ARTURO,NA,MATA,NA,2448,1926-10-02,1871,1
ARTURO,NA,MICHELINI,NA,3699,1963-02-15,1914-09-10,
ARTURO,NA,MIRANDA,NA,935,1908-02-15,1872,2
ARTURO,NA,PARADERA,NA,793,NA,,
ARTURO,NA,PINTOS,NA,1100,1917-05-15,,
ARTURO,NA,PUIG,NA,1142,1923-02-15,,
ARTURO,NA,REYES,CABRERA,1178,1951-02-15,,
ARTURO,NA,RISSO,DE LEON,2079,NA,,
ARTURO,NA,SAAVEDRA,NA,1237,1938-07-04,,
ARTURO,NA,SILVERA,NA,1237,2015-03-01,,
ARÌSTIDES,NA,LEZAMA,NA,3535,1943-02-15,,
ASDRUBAL,R.,MUJICA,NA,3266,2015-03-01,1967-12-08,
