,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
59,"FERREIRA RODRIGUEZ, OLGA ZULIMAR",1973-09-26,Diputado,Frente Amplio,Suplente,2019,2019,FERREIRA,RODRIGUEZ,OLGA,ZULIMAR,0,48,2015-02-15,2020-02-14,1985-2020
59,"FERREIRA RODRIGUEZ, OLGA ZULIMAR",1973-09-26,Senador,Frente Amplio,Suplente,2015,2018,FERREIRA,RODRIGUEZ,OLGA,ZULIMAR,0,48,2015-02-15,2020-02-14,1985-2020
59,"FERREIRA RODRIGUEZ, OLGA ZULIMAR",1973-09-26,Diputado,Frente Amplio,Suplente,2015,2017,FERREIRA,RODRIGUEZ,OLGA,ZULIMAR,0,48,2015-02-15,2020-02-14,1985-2020
60,"FERRERI SILVERA, PABLO NICOLAS",1975-10-27,Diputado,Frente Amplio,Suplente,2015,2015,FERRERI,SILVERA,PABLO,NICOLAS,1,48,2015-02-15,2020-02-14,1985-2020
61,"FERRERO TERESCO, SEBASTIAN",1980-07-23,Diputado,Partido Nacional,Suplente,2015,2016,FERRERO,TERESCO,SEBASTIAN,,1,48,2015-02-15,2020-02-14,1985-2020
62,"FLEITAS QUIRINO, CRISTINA YANINA",1967-02-23,Diputado,Frente Amplio,Suplente,2015,2018,FLEITAS,QUIRINO,CRISTINA,YANINA,0,48,2015-02-15,2020-02-14,1985-2020
63,"FONTES SOSA, RAUL NICOLAS",1985-03-14,Diputado,Partido Nacional,Suplente,2015,2018,FONTES,SOSA,RAUL,NICOLAS,1,48,2015-02-15,2020-02-14,1985-2020
64,"FORT PETUTTO, JOANNA",1979-04-08,Diputado,Partido Nacional,Suplente,2018,2019,FORT,PETUTTO,JOANNA,,0,48,2015-02-15,2020-02-14,1985-2020
65,"FOSSATTI CABRERA, MARIANA",1981-06-06,Diputado,Frente Amplio,Suplente,2015,2020,FOSSATTI,CABRERA,MARIANA,,0,48,2015-02-15,2020-02-14,1985-2020
66,"FRACHIA BRAIDA, ROBERTO FRANCISCO",1943-11-21,Diputado,Frente Amplio,Suplente,2015,2019,FRACHIA,BRAIDA,ROBERTO,FRANCISCO,1,48,2015-02-15,2020-02-14,1985-2020
67,"FRAGA DAMBORIARENA, CONRADO JOSE",1941-11-29,Diputado,Partido Nacional,Suplente,2015,2015,FRAGA,DAMBORIARENA,CONRADO,JOSE,1,48,2015-02-15,2020-02-14,1985-2020
68,"FRATTI SILVEIRA, LUIS ALFREDO",1956-10-23,Diputado,Frente Amplio,Titular,2015,2020,FRATTI,SILVEIRA,LUIS,ALFREDO,1,48,2015-02-15,2020-02-14,1985-2020
69,"GALAN PEREZ, LILIAN RAQUEL",1961-09-23,Diputado,Frente Amplio,Titular,2015,2020,GALAN,PEREZ,LILIAN,RAQUEL,0,48,2015-02-15,2020-02-14,1985-2020
70,"GALLICCHIO QUEIROLO, ANTONIO",1944-08-18,Senador,Frente Amplio,Suplente,2015,2019,GALLICCHIO,QUEIROLO,ANTONIO,,1,48,2015-02-15,2020-02-14,1985-2020
71,"GALLO CANTERA, LUIS ENRIQUE",1961-01-14,Diputado,Frente Amplio,Titular,2015,2020,GALLO,CANTERA,LUIS,ENRIQUE,1,48,2015-02-15,2020-02-14,1985-2020
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Diputado,Partido Nacional,Titular,2020,2020,GANDINI,ASTESIANO,JORGE,OSVALDO,1,48,2015-02-15,2020-02-14,1985-2020
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Senador,Partido Nacional,Suplente,2019,2019,GANDINI,ASTESIANO,JORGE,OSVALDO,1,48,2015-02-15,2020-02-14,1985-2020
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Diputado,Partido Nacional,Titular,2015,2020,GANDINI,ASTESIANO,JORGE,OSVALDO,1,48,2015-02-15,2020-02-14,1985-2020
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Senador,Partido Nacional,Suplente,2015,2017,GANDINI,ASTESIANO,JORGE,OSVALDO,1,48,2015-02-15,2020-02-14,1985-2020
73,"GARCIA DUCHINI, JAVIER FERNANDO",1963-11-28,Senador,Partido Nacional,Titular,2020,2020,GARCIA,DUCHINI,JAVIER,FERNANDO,1,48,2015-02-15,2020-02-14,1985-2020
73,"GARCIA DUCHINI, JAVIER FERNANDO",1963-11-28,Diputado,Partido Nacional,Titular,2020,2020,GARCIA,DUCHINI,JAVIER,FERNANDO,1,48,2015-02-15,2020-02-14,1985-2020
73,"GARCIA DUCHINI, JAVIER FERNANDO",1963-11-28,Senador,Partido Nacional,Titular,2015,2020,GARCIA,DUCHINI,JAVIER,FERNANDO,1,48,2015-02-15,2020-02-14,1985-2020
74,"GARCIA GONZALEZ, MARIO LUIS",1969-03-20,Diputado,Partido Nacional,Titular,2020,2020,GARCIA,GONZALEZ,MARIO,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
74,"GARCIA GONZALEZ, MARIO LUIS",1969-03-20,Diputado,Partido Nacional,Titular,2015,2020,GARCIA,GONZALEZ,MARIO,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
75,"GARCIA VERA, GRACIELA",1952-11-26,Senador,Frente Amplio,Suplente,2015,2019,GARCIA,VERA,GRACIELA,,0,48,2015-02-15,2020-02-14,1985-2020
76,"GARIN DE NARDO, DANIEL",1966-12-21,Senador,Frente Amplio,Titular,2016,2020,GARIN,DE NARDO,DANIEL,,1,48,2015-02-15,2020-02-14,1985-2020
76,"GARIN DE NARDO, DANIEL",1966-12-21,Senador,Frente Amplio,Suplente,2016,2016,GARIN,DE NARDO,DANIEL,,1,48,2015-02-15,2020-02-14,1985-2020
77,"GELMAN GARCIA, MARIA MACARENA",1976-11-01,Diputado,Frente Amplio,Titular,2015,2019,GELMAN,GARCIA,MARIA,MACARENA,0,48,2015-02-15,2020-02-14,1985-2020
78,"GIANOLI TRAVIESO, HECTOR GABRIEL",1966-11-13,Diputado,Partido Nacional,Titular,2019,2020,GIANOLI,TRAVIESO,HECTOR,GABRIEL,1,48,2015-02-15,2020-02-14,1985-2020
78,"GIANOLI TRAVIESO, HECTOR GABRIEL",1966-11-13,Diputado,Partido Nacional,Suplente,2015,2019,GIANOLI,TRAVIESO,HECTOR,GABRIEL,1,48,2015-02-15,2020-02-14,1985-2020
79,"GIUDICE YANEZ, PEDRO",1975-04-14,Diputado,Frente Amplio,Suplente,2018,2018,GIUDICE,YANEZ,PEDRO,,1,48,2015-02-15,2020-02-14,1985-2020
80,"GONI REYES, RODRIGO",1967-07-03,Diputado,Partido Nacional,Titular,2015,2020,GONI,REYES,RODRIGO,,1,48,2015-02-15,2020-02-14,1985-2020
81,"GONZALEZ, PABLO",1974-10-20,Diputado,Frente Amplio,Titular,2015,2020,GONZALEZ,,PABLO,,1,48,2015-02-15,2020-02-14,1985-2020
